Subject,Body,label,data_source,No.,Sender,URL,File,Type,Created by,Source,Year,Motivation
Re: there goes the neighbourhood,"is paraphernalia another Guard word, like vehicles? (I just figured out why guards pronounce ""vehicle"" like ""veh hicle"" instead of ""vee hicle"", btw, it's because they have to fill out bilingual forms all the time and the literal gaeilge translation is ""feithicil"".) Worth noting this is leafy Grangegorman we're talking about here. Glasnevin doesn't have this kind of behaviour, we just find Time Capsules. --j. Emma Kennedy writes: > Bet fabra is looking good now ;) > > I love the word paraphernalia > > > > -----Original Message----- > From: dqcxzgkeb-rekxpen@crackmice.com > [mailto:dqcxzgkeb-rekxpen@crackmice.com] On Behalf Of Justin Mason > Sent: 03 October 2007 15:46 > To: tdrf3946@crackmice.com > Subject: there goes the neighbourhood > > http://www.breakingnews.ie/ireland/mhmhaueymhey/ > > Gardai have recovered two handguns and three explosive devices during a > raid targeting INLA criminals in Dublin. > > Ammunition and other paraphernalia were also found during a search of a > premises on Stanhope Street yesterday evening. > > One man was arrested at the scene. > > Gardai say the operation targeted Dublin-based members of the INLA with > links to organised criminals.",0,fuzzer-LLM,2577,user7@gvc.ceas-challenge.cc,http://www.breakingnews.ie/ireland/mhmhaueymhey/,,Valid,Human,CEAS_08 Line 939,2008,Unknown
"[Spambayes-checkins] spambayes/spambayes XMLRPCPlugin.py, 1.1.2.3, 1.1.2.4","Update of /cvsroot/spambayes/spambayes/spambayes In directory sc8-pr-cvs8.sourceforge.net:/tmp/cvs-serv23471/spambayes Modified Files: Tag: CORESVR XMLRPCPlugin.py Log Message: + docstring, refine API a bit Index: XMLRPCPlugin.py =================================================================== RCS file: /cvsroot/spambayes/spambayes/spambayes/Attic/XMLRPCPlugin.py,v retrieving revision 1.1.2.3 retrieving revision 1.1.2.4 diff -C2 -d -r1.1.2.3 -r1.1.2.4 *** XMLRPCPlugin.py 2 Jun 2007 21:42:08 -0000 1.1.2.3 --- XMLRPCPlugin.py 4 Jun 2007 12:28:33 -0000 1.1.2.4 *************** *** 1,6 **** import threading from email import Message, message_from_string - from SimpleXMLRPCServer import SimpleXMLRPCServer, SimpleXMLRPCRequestHandler --- 1,61 ---- + """""" + XML-RPC plugin for SpamBayes core server. + + This plugin opens an XML-RPC server in a separate thread listening to the + given host and port (default localhost:5001). In Python 2.5 and later it + also enforces a path (default /sbrpc). + + SECURITY NOTE: The XML-RPC plugin provide *NO SECURITY*. It would be + unwise to listen to anything besides 'localhost'. Similarly, when + running the core_server configured with the XML-RPC plugin it's quite + likely that the main core_server interface will have to listen to + something other than localhost to allow administrators to administer + it remotely. Access to that URL should only be available to a set of + trusted administrators, probably by proxy through some other webserver + which provides the necessary authentication support. + + The XML-RPC server exposes the following two methods: + + score(form_dict, extra_tokens) -> (score, evidence) + Scores a dictionary representing the contents of a web + submission form and a list of any extra tokens provided + by the caller. The return value is a list containing + the spam probability of the input and a set of (token, + probability) pairs for the most significant tokens. + + score_mime(msg, encoding) -> (score, evidence) + Scores a MIME message (a string encoded using encoding). + The return value is as for the score method. + + train(form_dict, extra_tokens, is_spam) -> '' + Trains the given form and tokens as ham or spam. + + train_mime(msg, encoding, is_spam) -> '' + Trains the given MIME message as ham or spam. + + retrain() -> (nham, nspam) + Retrain from scratch on all saved MIME messages. + + get_corpus(is_spam) -> string + Retrieve the current ham or spam corpus (in Unix mbox format). + + set_corpus(string, is_spam) -> '' + Set the current ham or spam corpus (string in Unix mbox format). + Should normally be followed by a call to retrain(). + + The following options are available in the Plugin section of the options. + + xmlrpc_host - host to listen to (default: localhost) + xmlrpc_port - port to listen to (default: 5001) + xmlrpc_path - path to support (default: /sbrpc) + hambox - path on server to ham corpus (default: TBD...) + spambox - path on server to spam corpus (default: TBD...) + + """""" + import threading + import xmlrpclib from email import Message, message_from_string from SimpleXMLRPCServer import SimpleXMLRPCServer, SimpleXMLRPCRequestHandler *************** *** 16,19 **** --- 71,76 ---- ('Plugin', 'xmlrpc_host'), ('Plugin', 'xmlrpc_port'), + ('Plugin', 'hambox'), + ('Plugin', 'spambox'), ) *************** *** 27,53 **** # Path is only enforced in Python 2.5 and later but we set it anyway. self.server.RequestHandlerClass.rpc_paths = (path,) ! self.server.register_function(self.score) ! self.server.register_function(self.score_mime) self.thread = threading.Thread(target=self.server.serve_forever) self.thread.start() ! # placeholders ! def score(self, form, attachments, extra_tokens): ! mime_message = form_to_mime(form, attachments, tokens) return self.score_mime(mime_message) ! def score_mime(self, msg, mime_type): if self.state.bayes is None: self.state.create_workers() ! msg = unicode(msg, mime_type) msg = message_from_string(msg) ! tokens = tokenize(msg) ! return self.state.bayes.spamprob(tokens, evidence=True) ! def form_to_mime(form, attachments, extra_tokens): msg = Message.Message() msg.set_type(""multipart/digest"") main = Message.Message() ! main.set_payload("" "".join([str(v) for v in form.values()])) msg.attach(main) for msg_type, content in attachments: --- 84,145 ---- # Path is only enforced in Python 2.5 and later but we set it anyway. self.server.RequestHandlerClass.rpc_paths = (path,) ! self.server.register_instance(self) self.thread = threading.Thread(target=self.server.serve_forever) self.thread.start() ! def _dispatch(self, method, params): ! if method in (""score"", ""score_mime"", ""train"", ""train_mime""): ! return getattr(self, method)(*params) ! elif method in (""retrain"", ""get_corpus"", ""set_corpus""): ! return ""%s not yet implemented"" % method ! else: ! raise xmlrpclib.Fault(404, '""%s"" is not supported' % method) ! ! def score(self, form_dict, extra_tokens): ! """"""Score a dictionary + extra tokens."""""" ! mime_message = form_to_mime(form_dict, extra_tokens) return self.score_mime(mime_message) ! def score_mime(self, msg, encoding): ! """"""Score a message representing a MIME document. ! ! The msg argument will be a string in the given encoding. ! """""" ! tokens = self.tokenize(msg, encoding) ! return self.state.bayes.spamprob(tokens, evidence=True) ! ! def train(self, form_dict, extra_tokens, is_spam): ! """"""Train the form and extra tokens."""""" ! mime_message = form_to_mime(form_dict, extra_tokens) ! return self.train_mime(mime_message, is_spam) ! ! def train_mime(self, msg, is_spam): ! """"""Train the message."""""" ! tokens = self.tokenize(msg, encoding) ! return self.state.bayes.learn(tokens, is_spam) ! ! def tokenize(self, msg, encoding): ! """"""Tokenize the message. Make sure the bayes instance is available."""""" if self.state.bayes is None: self.state.create_workers() ! msg = unicode(msg, encoding) msg = message_from_string(msg) ! return tokenize(msg) ! def form_to_mime(form, mime_type, extra_tokens): ! """"""Encode submission form bits as a MIME message. ! ! form - a dictionary of key/value pairs representing the form's contents ! extra_tokens - a sequence of synthetic tokens generated by the caller. ! For example, if you include a honeypot hidden field in your form, you ! might generate a synthetic token which tells if it was filled in or not. ! You might also generate tokens which indicate how long a submitting ! username has existed or how many successful posts that username has ! submitted. ! """""" msg = Message.Message() msg.set_type(""multipart/digest"") main = Message.Message() ! main.set_payload("" "".join([""%s:%s"" % (k, v) for (k, v) in form.items()])) msg.attach(main) for msg_type, content in attachments: _______________________________________________ Spambayes-checkins mailing list pnperxdpv-sarswdlp@python.org http://mail.python.org/mailman/listinfo/spambayes-checkins",0,fuzzer-LLM,2578,Skip Montanaro <dwooqfuug@users.sourceforge.net>,http://mail.python.org/mailman/listinfo/spambayes-checkins,,Valid,Human,CEAS_08 Line 942,2008,Unknown
[Bug 5817] Poorly faked MTA Received headers,"http://issues.apache.org/SpamAssassin/show_bug.cgi?id=5817 ------- Additional Comments From qmitxmeh@rudersport.de 2008-02-09 08:37 ------- .and they come with a throwaway [a-z]+.blogspot.com URI. Whoops, forgot. :) ------- You are receiving this mail because: ------- You are the assignee for the bug, or are watching the assignee.",0,fuzzer-LLM,2579,qydlqcws-iacfym@issues.apache.org,http://issues.apache.org/SpamAssassin/show_bug.cgi?id=5817,,Valid,Human,CEAS_08 Line 945,2008,Follow the link
"[Spambayes-checkins] spambayes/spambayes XMLRPCPlugin.py, 1.1.2.4, 1.1.2.5","Update of /cvsroot/spambayes/spambayes/spambayes In directory sc8-pr-cvs8.sourceforge.net:/tmp/cvs-serv30513 Modified Files: Tag: CORESVR XMLRPCPlugin.py Log Message: Couple minor tweaks Index: XMLRPCPlugin.py =================================================================== RCS file: /cvsroot/spambayes/spambayes/spambayes/Attic/XMLRPCPlugin.py,v retrieving revision 1.1.2.4 retrieving revision 1.1.2.5 diff -C2 -d -r1.1.2.4 -r1.1.2.5 *** XMLRPCPlugin.py 4 Jun 2007 12:28:33 -0000 1.1.2.4 --- XMLRPCPlugin.py 5 Jun 2007 02:18:13 -0000 1.1.2.5 *************** *** 16,20 **** which provides the necessary authentication support. ! The XML-RPC server exposes the following two methods: score(form_dict, extra_tokens) -> (score, evidence) --- 16,20 ---- which provides the necessary authentication support. ! The XML-RPC server exposes the following methods: score(form_dict, extra_tokens) -> (score, evidence) *************** *** 42,46 **** set_corpus(string, is_spam) -> '' ! Set the current ham or spam corpus (string in Unix mbox format). Should normally be followed by a call to retrain(). --- 42,46 ---- set_corpus(string, is_spam) -> '' ! Set the current ham or spam corpus (a string in Unix mbox format). Should normally be followed by a call to retrain(). *************** *** 112,121 **** """"""Train the form and extra tokens."""""" mime_message = form_to_mime(form_dict, extra_tokens) ! return self.train_mime(mime_message, is_spam) ! def train_mime(self, msg, is_spam): """"""Train the message."""""" tokens = self.tokenize(msg, encoding) ! return self.state.bayes.learn(tokens, is_spam) def tokenize(self, msg, encoding): --- 112,122 ---- """"""Train the form and extra tokens."""""" mime_message = form_to_mime(form_dict, extra_tokens) ! return self.train_mime(mime_message, ""ascii"", is_spam) ! def train_mime(self, msg, encoding, is_spam): """"""Train the message."""""" tokens = self.tokenize(msg, encoding) ! self.state.bayes.learn(tokens, is_spam) ! return """" def tokenize(self, msg, encoding): _______________________________________________ Spambayes-checkins mailing list pnperxdpv-sarswdlp@python.org http://mail.python.org/mailman/listinfo/spambayes-checkins",0,fuzzer-LLM,2580,Skip Montanaro <dwooqfuug@users.sourceforge.net>,http://mail.python.org/mailman/listinfo/spambayes-checkins,,Valid,Human,CEAS_08 Line 956,2008,Unknown
[UAI] 2004 IEEE International Conference on Advances in Intelligent Systems,"**** Please apologize for multiple copies **** Second Call for Papers AISTA 2004 --> 2004 IEEE International Conference on Advances in Intelligent Systems - Theory and Applications November 15-18, 2004 --> Centre de Recherche Public Henri Tudor, Luxembourg-Kirchberg, Luxembourg http://aista.tudor.lu/aista2004 IMPORTANT DATES: Submission of extended summaries: September 5, 2004 Notification of acceptance: September 26, 2004 Camera-ready paper due: October 24, 2004 AISTA Conference: November 15-18, 2004 AIMS and SCOPE: The International Conference on Advances in Intelligent Systems - Theory and Applications - AISTA'2004 aims at bringing together theoreticians and practitioners of Intelligent Systems from Luxembourg and around the world to exchange ideas, present their recent results and discuss possible collaborations. The focus of the conference includes, but is not limited=20 to the areas listed below. * Control Systems: Neural Networks Control, Fuzzy Logic Control, Genetic Algorithms & Evolutionary Control, Model-Predictive Control, Adaptive and Optimal Control, Intelligent Control Systems, Robotics and Automation, Fault Diagnosis, Intelligent agents & Multiagent Systems, Industrial Automations Hybrid Systems; Fuzzy Evolutionary Systems, Fuzzy Expert Systems, Fuzzy Neural Systems, Neural Genetic Systems, Neural-Fuzzy-Genetic Systems, Hybrid Systems for Optimization. * Optimization and Prediction: Multi-criteria Optimization, Signal Processing, Time Series Analysis & Prediction, System Identification, Data Mining & Knowledge Discovery, Intelligent Information Systems, Image Processing, Parallel Computing applications in Identification & Control, Pattern Recognition, Clustering, Classification. * Decision Making: Intelligent Databases & Information Retrieval, Case-Based Reasoning, Decision Analysis, Dynamic Systems Modeling, Decision Support Systems, Qualitative and Approximate-Reasoning Modeling. * Security: Intrusion Detection, Privilege Determining, Denial-of-Service Resistance, Attack Resistance, Cryptographic Mechanisms and Protocols, Mobile Environment Security, Wireless Security, Access control, Database=20 Security, Identification and Authentication. * Workshop: A workshop dedicated to Satellite Control and Communications will take place in parallel to the conference sessions. Topics might come for=20 example from the field of Intelligent Ground Control Systems, Autonomous Satellite Cluster Control, Intelligent Telemetry Processing, and Intelligent Antenna Systems. SUBMISSION OF PAPERS Papers reporting original and unpublished research or application results pertaining to the above and related topics are solicited. Papers will be reviewed on the basis of two pages extended abstracts of sufficient detail to permit reasonable evaluation. Accepted papers will appear in the conference proceedings with an ISBN. The final version of accepted papers should be of six pages long. Submissions should include the title, author(s), affiliation(s), e-mail address(es), tel/fax numbers, postal address(es) and keywords on the first page. Papers should be submitted on the conference web site: http://aista.tudor.lu/aista2004. If web=20 submission is not possible, manuscripts should be sent as an attachment via email to one of the Program Chairs listed below on before the deadline date of September 5, 2004. A special issue of the international of Integrated=20 Computer-Aided Engineering (ICAE) will be devoted to publish extended versions of the=20 best papers=20 presented at AISTA'04. PROGRAM CHAIRS * Dr. Eng. Djamel KHADRAOUI - CRP Henri Tudor (Luxembourg) - nzjwoo.gluzshfek@tudor.lu * Dipl. Ing. (FH) Frank ZIMMER - SES ASTRA (Luxembourg) - xfdnz.tlqykm@ses-astra.com * Professor Pascal BOUVRY - University of Luxembourg -=20 sexlxi.qnlpjj@uni.lu * Dr. Masoud Mohammadian Senior Lecturer - University of Canberra (Australia) - ismgpv@ise.canberra.edu.au INTERNATIONAL PROGRAM COMMITTE Masoud Mohammadian (University of Canberra, Australia) Jorge Barboza (None, Rio de Janeiro, Brazil) Bruno Clemente Guingo (Funda=E7=E3o Educacional Serra dos =D3rg=E3os, Teres= =F3polis, Brazil) Rachida Dssouli (Concordia University, Canada) Janos D. Pinter (Dalhousie University, Canada) Jianmin Sun (bicea, Beijing, China) Mario Zagar (University of Croatia, Croatia) Jarmo Alander (University of Vaasa, Finland) Juha Karhunen (Helsinki University of Technology, Finland) Jacques Blanc-Talon (CTA-GIP, France) Olivier Boissier (Ecole des Mines Saint-Etienne, France) Isabelle Chrisment (Loria-Inria Lorraine, France) Yves Demazeau (Institut IMAG - Grenoble, France) Talbi El-ghazali (Lille University, France) Francine Herrmann (Metz University, France) Yves Ducq (Bordeaux University, France) Zahia Guessoum (LIP6, Paris 6, France) Jacques Calmet (University of Karlsruhe, Germany) Ralf Denzer (University of Applied Sciences, Saarbr=FCcken, Germany) Reiner G=FCttler (University of Applied Sciences, Saarbr=FCcken, Germany) Axel Poign=E9 (Fraunhofer Institut Autonome, Intelligente Systeme, Germany) Bernd Reusch (University of Dortmund, Germany) Christoph Meinel (University at Trier, Germany) Shun-ichi Amari (The Institute of Physical, and Chimical Research (RIKEN), Japan) Takesshi Furuhashi (Nagoya University, Japan) Sugisaka Masanori (Oita University, Japan) Ning Zhong (Yamaguchi University, Japan) Pascal Bouvry (University of Luxembourg,Luxembourg) Eric Dubois (CRP Henri Tudor, Luxembourg) Benjamin Gateau (LIASIT, Luxembourg - Gasperich, Luxembourg) Serge Gille (CRP Henri Tudor, Luxembourg) Nicolas Guelfi (University of Luxembourg, Luxembourg) Farid Meinkohn (Cybercultus - Luxembourg, Luxembourg) Frank Zimmer (SES ASTRA, Luxembourg, Luxembourg, Luxembourg) Djamel Khadraoui (CRP Henri Tudor, Luxembourg) Christoph Schommer (University of Luxembourg, Luxembourg) Emil Weydert (University of Luxembourg, Luxembourg) Steffen Rothkugel (University of Luxembourg, Luxembourg) Thomas Engel (University of Luxembourg, Luxembourg) Thibaud Latour (CRP henri Tudor, Luxembourg) Joost N. Kok (Leiden University, , Netherland) Jerzy Pejas (Technical University of, Szczecin, Poland) Franciszek Seredynski (Polish Academy of Sciences, Poland) Enrique Alba (Malaga University, Spain) Jason Yi-Bing Lin (Chiao Tung University, , Taiwan) Zakaria Maamar (Zayed University, , United Arab Emirates) Armin Stranjak (Rolls.Royce plc., , UK) Jeremy L. Wyatt (University of Birmingham, , UK) Hamid Arabnia (University of Georgia, , USA) Russell C. Eberhart (Purdue University Indianapolis, , USA) David E. Goldberg (University of Illinois, , USA) Mehmed Kantardzic (University of Louisville, , USA) Kalmanje KrishnaKumar (The University of Alabama, , USA) Jay Liebowitz (University of Maryland, Baltimore Country, USA) D. Manivannan (University of Kentucky, Lexington, Kentucky, USA) Weiyi Meng (State university of New York, at Binghamton, USA) Xindong Wu (Colorado School of Mines, , USA) Jacek M. Zurada (Computational Intelligence Lab, University of=20 Louisville,USA) Di Marzo Giovanna (University of Genova, Switzerland) FURTHER INFORMATION See AISTA 2004 IEEE International Conference page http://aista.tudor.lu/aista2004",0,fuzzer-LLM,2581,rolbr@tudor.lu,http://aista.tudor.lu/aista2004,,Valid,Human,CEAS_08 Line 957,2008,Follow the link
[Bug 5817] Poorly faked MTA Received headers,"http://issues.apache.org/SpamAssassin/show_bug.cgi?id=5817 ------- Additional Comments From qmitxmeh@rudersport.de 2008-02-09 08:44 ------- Doh! Please disregard the last two paragraphs. I was tracking down two issues at the same time. The mentioned similarities about content, URI and Mailer don't apply. Sorry for the noise. ------- You are receiving this mail because: ------- You are the assignee for the bug, or are watching the assignee.",0,fuzzer-LLM,2582,qydlqcws-iacfym@issues.apache.org,http://issues.apache.org/SpamAssassin/show_bug.cgi?id=5817,,Valid,Human,CEAS_08 Line 959,2008,Follow the link
[opensuse] console keymap,"Greets. I have a weird problem with 10.1 and using home,end,backspace,delete etc in console programs (vi for example). On bash prompt using home, end doesn't work (nothing happens, while it should move cursor to start or end of the line). Using vi home,end works, but when in insert mode, I can't use backspace (nothing happens), delete works as long as there are characters on the line, when there are no more characters available, it should delete the line and move to next but that doesn't happen. This doesn't seem to be a problem in 10.3 when I'm connected directly, but if I ssh from 10.1 to 10.3 server same thing happens. I'm guessing some terminal issue but I wasn't able to pinpoint it. -- Best regards, Nick Zeljkovic",0,fuzzer-LLM,2583,Nick Zeljkovic <kppyozizjt@site5.com>,,,Valid,Human,CEAS_08 Line 960,2008,Unknown
[UAI] Second Call for Participants(IWNICA'2004),"We apologize if you reciese multiple copies. Second Call for Participants 2004 International Workshop on Nature Inspired Computation and Applications (IWNICA'2004) October 25-29, 2004, Hefei, P. R. China http://nical.ustc.edu.cn/nica2004/ Nature Inspired Computation, which is inspired from natural systems, has the unique character of self-adaptive, self-organizing and self-learning. Because of its ability to solve complex problems that are difficult for traditional computational methods, Nature Inspired Computation is now successfully used in many fields such as Combinational Optimization, Machine Learning, Data Mining and Engineering Design, etc. The 2004 International Workshop on Nature Inspired Computation and Applications will be held on October 25-29, 2004 at the University of Science and Technology of China (USTC), Hefei, P. R. China. The aim of this Workshop is to further explore the theories and applications of Nature Inspired Computation and identify future research directions. The Workshop provides an excellent opportunity for participants to hear from many distinguished international experts in the field and exchange ideas with them. The official language of the Workshop is English. 1. Main Topics The topics of the workshop include, but are not limited to: * Basic Methods in Nature Inspired Computation * Theoretic Foundations and Performance Analysis for Nature Inspired Computation * Applications of Nature Inspired Computation * High Performance Computation Inspired by Nature * Novel Algorithms in Nature Inspired Computation 2. Invited Speakers Distinguished experts will give lectures on Nature Inspired Computation and its applications. For detailed information, please refer to http://nical.ustc.edu.cn/nica2004/. So far, the experts who have confirmed to give the lectures at IWNICA'2004 include: Prof. Wolfgang Banzhaf The Memorial University of Newfoundland, Canada Prof. Bill Buckles The Tulane University, USA Prof. Guoliang Chen University of Science and Technology of China, P. R. China Prof. David Corne The University of Exeter, UK Prof. Aike Guo Chinese Academy of Sciences, P. R. China Prof. Lichen Jiao Xidian University, P. R. China Dr. Roy Johnston The University of Birmingham, UK Prof. Lishan Kang Wuhan University, P. R. China Prof. Peter Ross The Napier University, UK Prof. Marc Schoenauer Senior researcher at INRIA, France Prof. Edward Tsang The University of Essex, UK Prof. Xufa Wang University of Science and Technology of China, P. R. China Prof. Xin Yao The University of Birmingham, UK Prof. Bo Zhang/Ling Zhang Tsinghua University/Anhui University, P. R. China Prof. Yixin Zhong Beijing University of Posts and Telecommunications, P. R. China Prof. Zhi-Hua Zhou Nanjing University, P. R. China 3. Registration and Important Date Anyone who is interested in nature inspired computation and applications is welcome. Registration: Please browse the workshop homepage: http://nical.ustc.edu.cn/nica2004/ for detailed information and download the registration form. Deadline for Early Registration: September 30th, 2004. On-site registration is available. 4. Contacts Workshop homepage: http://nical.ustc.edu.cn/nica2004/ For further information, please contact: Prof. Xufa Wang Department of Computer Science and Technology, University of Science and Technology of China, Hefei, 230027, P. R. China Tel: 86-551-3601812 Fax: 86-551-3601013 Email: bqxp0785@ustc.edu.cn Dr. Wenjian Luo Department of Computer Science and Technology, University of Science and Technology of China, Hefei, 230027, P. R. China Tel: 86-551-3602824-1 Fax: 86-551-3601013 Email: wrskl@ustc.edu.cn",0,fuzzer-LLM,2584,Wenjian Luo <wrskl@ustc.edu.cn>,http://nical.ustc.edu.cn/nica2004/,,Valid,Human,CEAS_08 Line 961,2008,Follow the link
Re: mass-check --server bug?,"Matt Kettler wrote: > Justin Mason wrote: >> rulesrc/sandbox/mkettler/20_drugs.cf: 1 active rules, 1 other >> rulesrc/sandbox/mkettler/25_uribl.cf: 0 active rules, 5 other > > heh, there's a sandbox with my name on it, and I never knew it :) You emailed me in February of last year to update the rules in it there for you! :)",0,fuzzer-LLM,2585,"""Daryl C. W. O'Shea"" <wlbpaliggfad@dostech.ca>",,,Valid,Human,CEAS_08 Line 962,2008,Unknown
Re: [opensuse] How can I write man pages? Linuxdoc/Docbook anyone? Report on manedit,"Carlos E. R. schreef: > I haven't finished yet, but I found a blocker. > > The program does it job fairly well, but the locale encoding turns out > to be a problem. > > I asked the people of the project for whom I'm translating their pages, > whether they wanted the pages in latin1 or utf8, and the answer is > ""neither"": > > ] Characters outside the ASCII printable range must be encoded; see > ] groff_char(7) (but note that we use ""\\('e"" rather than ""\\['e]""). > > > This is a problem too with manual pages in the suse distro: they either > display well in latin 1 or in utf 8, but not both. And using the > encoding described in groff_char(7) they display correctly in both. The > blocker is that manedit does not support that encoding. > > I would have to write ""ol\\('e"" instead of ""olÃƒÂ©"", which may be just a > nuisance for a coder, but it is a big inconvenience for a writer: I can > not spell check the file, and my sight doesn't see ""olÃƒÂ©"" but gibberish, > so I can't proofread the text. > > :-/ > But wait, you're almost there! The only thing you need is a sed script to convert the utf-8 symbols to groff_char(7) gibberish, right? Something like utf2groff #!/bin/sed -f # # Convert utf 8 to groff_char(7) s/Ã©/\\\\('e/g s/Ã¨/\\\\(`e/g",0,fuzzer-LLM,2586,Jos van Kan <iisgil@kabelfoon.nl>,,,Valid,Human,CEAS_08 Line 964,2008,Unknown
"[Spambayes-checkins] spambayes/spambayes XMLRPCPlugin.py, 1.1.2.5, 1.1.2.6","Update of /cvsroot/spambayes/spambayes/spambayes In directory sc8-pr-cvs8.sourceforge.net:/tmp/cvs-serv7990 Modified Files: Tag: CORESVR XMLRPCPlugin.py Log Message: Dump the training-related methods. I think the core server will manage training. Index: XMLRPCPlugin.py =================================================================== RCS file: /cvsroot/spambayes/spambayes/spambayes/Attic/XMLRPCPlugin.py,v retrieving revision 1.1.2.5 retrieving revision 1.1.2.6 diff -C2 -d -r1.1.2.5 -r1.1.2.6 *** XMLRPCPlugin.py 5 Jun 2007 02:18:13 -0000 1.1.2.5 --- XMLRPCPlugin.py 5 Jun 2007 02:43:41 -0000 1.1.2.6 *************** *** 29,48 **** The return value is as for the score method. - train(form_dict, extra_tokens, is_spam) -> '' - Trains the given form and tokens as ham or spam. - - train_mime(msg, encoding, is_spam) -> '' - Trains the given MIME message as ham or spam. - - retrain() -> (nham, nspam) - Retrain from scratch on all saved MIME messages. - - get_corpus(is_spam) -> string - Retrieve the current ham or spam corpus (in Unix mbox format). - - set_corpus(string, is_spam) -> '' - Set the current ham or spam corpus (a string in Unix mbox format). - Should normally be followed by a call to retrain(). - The following options are available in the Plugin section of the options. --- 29,32 ---- *************** *** 50,55 **** xmlrpc_port - port to listen to (default: 5001) xmlrpc_path - path to support (default: /sbrpc) - hambox - path on server to ham corpus (default: TBD...) - spambox - path on server to spam corpus (default: TBD...) """""" --- 34,37 ---- *************** *** 71,76 **** ('Plugin', 'xmlrpc_host'), ('Plugin', 'xmlrpc_port'), - ('Plugin', 'hambox'), - ('Plugin', 'spambox'), ) --- 53,56 ---- *************** *** 89,96 **** def _dispatch(self, method, params): ! if method in (""score"", ""score_mime"", ""train"", ""train_mime""): return getattr(self, method)(*params) - elif method in (""retrain"", ""get_corpus"", ""set_corpus""): - return ""%s not yet implemented"" % method else: raise xmlrpclib.Fault(404, '""%s"" is not supported' % method) --- 69,74 ---- def _dispatch(self, method, params): ! if method in (""score"", ""score_mime""): return getattr(self, method)(*params) else: raise xmlrpclib.Fault(404, '""%s"" is not supported' % method) *************** *** 109,123 **** return self.state.bayes.spamprob(tokens, evidence=True) - def train(self, form_dict, extra_tokens, is_spam): - """"""Train the form and extra tokens."""""" - mime_message = form_to_mime(form_dict, extra_tokens) - return self.train_mime(mime_message, ""ascii"", is_spam) - - def train_mime(self, msg, encoding, is_spam): - """"""Train the message."""""" - tokens = self.tokenize(msg, encoding) - self.state.bayes.learn(tokens, is_spam) - return """" - def tokenize(self, msg, encoding): """"""Tokenize the message. Make sure the bayes instance is available."""""" --- 87,90 ---- _______________________________________________ Spambayes-checkins mailing list pnperxdpv-sarswdlp@python.org http://mail.python.org/mailman/listinfo/spambayes-checkins",0,fuzzer-LLM,2587,Skip Montanaro <dwooqfuug@users.sourceforge.net>,http://mail.python.org/mailman/listinfo/spambayes-checkins,,Valid,Human,CEAS_08 Line 965,2008,Unknown
Re: [opensuse] Unstable system - who is the culprit?,"On Thu, 2008-02-07 at 10:13 +0100, Per Jessen wrote: > Randall R Schulz wrote: > > > Offhand, I don't know how the efficiency of today's power supplies > > varies with the percentage of their rated output they're producing. In > > other words, does a higher-capacity PSU consume more mains power for a > > given level of consumption on its output side? If so, you wouldn't > > want to have such a large PSU, since that would be wasteful. > > I haven't looked at switchmode technology for quite some time, but I > would expect a fairly fixed efficiency in the 80-90% range, quite > probably more. There will be a minimum consumption required in order > to achieve optimal operation, but otherwise I think the output power > will be e.g. 80% of the input power, and the rest is turned into heat. or to say it another way...(at 80% efficiency) a 150 watt supply or a 500 watt supply should either one pull the same current from the mains, if they alternately supply the same 80 watt load (ie MB)...approximately 100 watts from the mains in each example. It would NOT be wasteful to the environment...(but maybe to your wallet). Tom in NM",0,fuzzer-LLM,2588,Tom Patton <wkdiyvo@micro-net.com>,,,Valid,Human,CEAS_08 Line 966,2008,Unknown
Re: [opensuse] Unstable system - who is the culprit?,"Tom Patton wrote: > On Thu, 2008-02-07 at 10:13 +0100, Per Jessen wrote: > >> Randall R Schulz wrote: >> >> >>> Offhand, I don't know how the efficiency of today's power supplies >>> varies with the percentage of their rated output they're producing. In >>> other words, does a higher-capacity PSU consume more mains power for a >>> given level of consumption on its output side? If so, you wouldn't >>> want to have such a large PSU, since that would be wasteful. >>> >> I haven't looked at switchmode technology for quite some time, but I >> would expect a fairly fixed efficiency in the 80-90% range, quite >> probably more. There will be a minimum consumption required in order >> to achieve optimal operation, but otherwise I think the output power >> will be e.g. 80% of the input power, and the rest is turned into heat. >> > or to say it another way...(at 80% efficiency) a 150 watt supply or a > 500 watt supply should either one pull the same current from the mains, > if they alternately supply the same 80 watt load (ie MB)...approximately > 100 watts from the mains in each example. It would NOT be wasteful to > the environment...(but maybe to your wallet). > > Tom in NM > > > You're forgetting there may be some additional power consumed by the power supply itself. This might be a bit more for a larger supply. Even with no load, all power supplies draw some power. -- Use OpenOffice.org",0,fuzzer-LLM,2589,James Knott <gjaid.adgua@rogers.com>,,,Valid,Human,CEAS_08 Line 967,2008,Unknown
